ticker,date,signal,report_status,pullback,revenue_yoy,eps_growth_yoy,falling_score,falling_risk,confirmations_total,dist_sma50,volume_ratio,initial_weight,confirmation_weight,current_cash_weight,reason
MCD,2026-09-03,AGUARDAR,AGUARDAR,0.22383346107419277,0.03741049247406103,0.0573248407643312,0,BAIXO,1,-0.030708482140581528,1.0885764887936806,0.0,0.0,1.0,fundamentos não aprovados | queda 22.4% | Falling Score 0 | 1 confirmações | condições insuficientes para entrada
PFE,2026-09-03,AGUARDAR,AGUARDAR,0.39249289942346755,0.026001501399030902,,1,BAIXO,2,0.12020309133586937,0.7225853795180006,0.0,0.0,1.0,fundamentos não aprovados | queda 39.2% | Falling Score 1 | 2 confirmações | condições insuficientes para entrada
INTC,2026-09-03,AGUARDAR,AGUARDAR,0.3495814064069157,0.25421883505715837,,1,BAIXO,2,-0.09549455857400024,0.826186309779088,0.0,0.0,1.0,fundamentos não aprovados | queda 35.0% | Falling Score 1 | 2 confirmações | condições insuficientes para entrada
QCOM,2026-09-03,AGUARDAR,AGUARDAR,0.32231117606456505,-0.04032802701398941,-0.2304526748971194,1,BAIXO,2,-0.003325413468868943,0.7626672629549539,0.0,0.0,1.0,fundamentos não aprovados | queda 32.2% | Falling Score 1 | 2 confirmações | condições insuficientes para entrada
WMT,2026-09-03,AGUARDAR,AGUARDAR,0.19016720678975407,0.05889046941678511,-0.09090909090909083,1,BAIXO,2,-0.021838265343097296,0.9212504900901693,0.0,0.0,1.0,fundamentos não aprovados | queda 19.0% | Falling Score 1 | 2 confirmações | condições insuficientes para entrada
NFLX,2026-09-03,AGUARDAR,AGUARDAR,0.38265887826080813,0.13365374252899542,-0.8887343532684284,1,BAIXO,1,0.09797430035036392,0.8722935677142662,0.0,0.0,1.0,fundamentos não aprovados | queda 38.3% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
F,2026-09-03,AGUARDAR,AGUARDAR,0.22383913199724592,0.06379891290981088,4.25,1,BAIXO,1,0.028809303681781584,0.986672595516182,0.0,0.0,1.0,fundamentos não aprovados | queda 22.4% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
GOOGL,2026-09-03,AGUARDAR,AGUARDAR,0.1488635306147198,0.2423362508814868,2.9437229437229435,1,BAIXO,1,-0.017765536668695847,0.9292173860025392,0.0,0.0,1.0,fundamentos aprovados | queda 14.9% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
GE,2026-09-03,AGUARDAR,AGUARDAR,0.1252295002400371,0.21101333575251746,0.1957671957671958,1,BAIXO,1,-0.0680845141492854,0.7476553869738711,0.0,0.0,1.0,fundamentos aprovados | queda 12.5% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
LLY,2026-09-03,AGUARDAR,AGUARDAR,0.09430307063563159,0.47669642684972713,0.26232114467408585,1,BAIXO,1,-0.025448586722081945,0.9890527507726672,0.0,0.0,1.0,fundamentos aprovados | queda 9.4% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
AMZN,2026-09-03,AGUARDAR,AGUARDAR,0.08844446197052103,0.19620517346245125,2.422619047619048,1,BAIXO,1,0.022029875355889628,0.8138097228949371,0.0,0.0,1.0,fundamentos aprovados | queda 8.8% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
SBUX,2026-09-03,AGUARDAR,AGUARDAR,0.051276610778329235,-0.014096869712351912,0.8571428571428572,1,BAIXO,1,0.007853511091258536,0.7456621492968478,0.0,0.0,1.0,fundamentos não aprovados | queda 5.1% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
MSFT,2026-09-03,AGUARDAR,AGUARDAR,0.05119790464033802,0.18297034224873698,0.23410404624277437,1,BAIXO,1,0.15775480771059547,0.9989704259885763,0.0,0.0,1.0,fundamentos aprovados | queda 5.1% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
AAPL,2026-09-03,AGUARDAR,AGUARDAR,0.03407116024608281,0.16356501765281384,0.286624203821656,1,BAIXO,1,0.044966465651324894,0.9343107682994228,0.0,0.0,1.0,fundamentos aprovados | queda 3.4% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
V,2026-09-03,AGUARDAR,AGUARDAR,0.014031380337636512,,,1,BAIXO,1,0.04662230944374657,0.5773774574352921,0.0,0.0,1.0,fundamentos não aprovados | queda 1.4% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
JPM,2026-09-03,AGUARDAR,AGUARDAR,0.008543718658643895,0.46689397779108877,0.4694656488549618,1,BAIXO,1,0.03704572636470305,0.9913330226758594,0.0,0.0,1.0,fundamentos aprovados | queda 0.9% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
JNJ,2026-09-03,AGUARDAR,AGUARDAR,-0.011700161043131097,0.06599839952828201,-0.008733624454148492,1,BAIXO,1,0.07050393338176741,0.9218829050570638,0.0,0.0,1.0,fundamentos não aprovados | queda -1.2% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada
PYPL,2026-09-03,AGUARDAR,AGUARDAR,0.8142414387316665,0.07213451418303163,-0.06201550387596899,2,MODERADO,2,0.03739325439414021,1.2668028748647566,0.0,0.0,1.0,fundamentos não aprovados | queda 81.4% | Falling Score 2 | 2 confirmações | condições insuficientes para entrada
ADBE,2026-09-03,AGUARDAR,AGUARDAR,0.5848889375961918,0.12685169419376807,0.07868020304568524,2,MODERADO,2,0.15507843324116677,0.8262818716727375,0.0,0.0,1.0,fundamentos não aprovados | queda 58.5% | Falling Score 2 | 2 confirmações | condições insuficientes para entrada
DIS,2026-09-03,AGUARDAR,AGUARDAR,0.4526076097481586,0.06756871035940804,-0.48287671232876705,2,MODERADO,1,0.060783603229637384,0.759091542088271,0.0,0.0,1.0,fundamentos não aprovados | queda 45.3% | Falling Score 2 | 1 confirmações | condições insuficientes para entrada
MELI,2026-09-03,AGUARDAR,AGUARDAR,0.23820121904514235,0.46887362065375804,-0.10863239573229888,2,MODERADO,1,0.075966723252477,0.9074364342145405,0.0,0.0,1.0,fundamentos não aprovados | queda 23.8% | Falling Score 2 | 1 confirmações | condições insuficientes para entrada
XOM,2026-09-03,AGUARDAR,AGUARDAR,0.041415563311769876,,,2,MODERADO,1,0.06834519984023113,0.9779996125002444,0.0,0.0,1.0,fundamentos não aprovados | queda 4.1% | Falling Score 2 | 1 confirmações | condições insuficientes para entrada
MA,2026-09-03,AGUARDAR,AGUARDAR,0.023588776922023436,0.14066150252059506,0.22113022113022107,2,MODERADO,1,0.05390594436869489,0.7864493484317742,0.0,0.0,1.0,fundamentos aprovados | queda 2.4% | Falling Score 2 | 1 confirmações | condições insuficientes para entrada
CVX,2026-09-03,AGUARDAR,AGUARDAR,0.002172025015249379,0.5143436619718309,3.2137931034482765,2,MODERADO,1,0.11688685224624673,0.8440016985847447,0.0,0.0,1.0,fundamentos aprovados | queda 0.2% | Falling Score 2 | 1 confirmações | condições insuficientes para entrada
