ticker,date,close,previous_high,pullback,pullback_zone,sma50,dist_sma50,ret_5d,ret_10d,ret_20d,volume_ratio,close_location,cross_sma50,institutional_score,falling_score,falling_risk,confirmation_sma50,confirmation_institutional,confirmation_volume,confirmations_total,revenue_yoy,eps_growth_yoy,growth_class,fundamentals_ok,signal,initial_weight,confirmation_weight,cash_weight,needs_confirmation,confirmation_trigger,confirmation_executed,effective_weight,current_cash_weight,reason,run_timestamp
MCD,2026-08-14,272.8299865722656,336.88055419921875,0.19012842038094,False,273.6261999511719,-0.0029098579706487,-0.0060114556543962,0.0080918260615412,0.0191251551328319,0.5934564119043018,0.3832910936820479,False,,1,BAIXO,True,False,False,1,0.037410492474061,0.0573248407643312,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 19.0% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
F,2026-08-14,14.369999885559082,17.253143310546875,0.1671082986498653,False,14.090342102050782,0.0198474800315597,0.0390295013870471,-0.0105155773806044,0.0207752453262117,0.934680638764938,0.8627455013622602,True,,1,BAIXO,True,False,False,1,0.0637989129098108,4.25,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 16.7% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
WMT,2026-08-14,115.2699966430664,134.1999969482422,0.1410581276874144,False,114.48799942016602,0.0068303859518978,0.0305766492230807,0.0366007176845391,0.009016095925747,0.6547425347047484,0.3480652503793626,False,,1,BAIXO,True,False,False,1,0.0713680243442838,0.1964285714285714,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 14.1% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
DIS,2026-08-14,106.8499984741211,122.2399444580078,0.1258994844289503,False,98.9302653503418,0.0800536933337148,0.0184919906995713,0.1108222867465704,0.0939899710993812,0.6997098776451671,0.8818170468653549,False,,1,BAIXO,True,False,False,1,0.067568710359408,-0.482876712328767,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 12.6% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
BA,2026-08-14,231.6699981689453,264.2699890136719,0.1233586566768276,False,221.3059994506836,0.0468310788861883,-0.0117310810574193,0.0718515722362893,0.0824183501857533,0.4286458177271325,0.5042251947114145,False,,1,BAIXO,True,False,False,1,-0.2429420431734353,,SEM_DADOS,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 12.3% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
PFE,2026-08-14,26.790000915527344,30.51685333251953,0.1221244004545107,False,24.87863368988037,0.0768276606132289,0.0011211018829935,0.0711715581909488,0.0881702412894596,0.5702615674156502,0.7400016784667969,False,,1,BAIXO,True,False,False,1,-0.4453389692024446,,SEM_DADOS,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 12.2% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
COST,2026-08-14,961.0999755859376,1092.5828857421875,0.1203413597925197,False,949.554013671875,0.0121593524410632,0.0140110655600205,0.0096754465282435,0.0231254577426536,0.6206352842159093,0.4402078888692834,False,,1,BAIXO,True,False,False,1,0.1158452654062178,0.1518691588785046,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 12.0% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
AMD,2026-08-14,514.3900146484375,580.9099731445312,0.1145099267895397,False,510.400200805664,0.0078170303155751,0.0641965206828321,0.0803108710325144,0.0375786762058925,0.8838281576669518,0.9911036376754252,True,,1,BAIXO,True,False,False,1,0.5011060507482108,1.5555555555555554,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 11.5% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
AAPL,2026-08-14,305.92999267578125,339.78692626953125,0.0996416606296778,False,308.95068115234375,-0.0097772513894313,-0.0227752026398007,-0.0087927779916253,-0.0825377190715328,0.5183635558974528,0.5109729264326031,False,,1,BAIXO,True,False,False,1,0.1635650176528138,0.286624203821656,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 10.0% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
XOM,2026-08-14,160.10000610351562,170.31399536132812,0.0599715204622092,False,147.5687997436523,0.0849177223209225,0.0461318160422483,0.0299794363671987,0.0864549772013851,0.7106529859042199,0.4228897644370554,False,,1,BAIXO,True,False,False,1,0.4234166809805413,1.1219512195121952,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 6.0% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
MA,2026-08-14,569.2899780273438,595.2506713867188,0.0436130433904358,False,528.8596759033203,0.0764480711352522,0.0112620404704439,-0.0066480504639673,0.0472590205945382,0.8253783915917058,0.7784896935496513,False,,1,BAIXO,True,False,False,1,0.1713519039100435,0.221130221130221,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 4.4% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
LLY,2026-08-14,1180.1600341796875,1233.7921142578125,0.0434693004261802,False,1167.900048828125,0.0104974611173827,-0.0032544156944367,0.0287343993240993,0.0023248274548604,0.8448682647310912,0.3223045780677796,False,,1,BAIXO,True,False,False,1,0.4766679521789432,0.2623211446740858,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 4.3% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
GM,2026-08-14,86.7699966430664,90.3000030517578,0.0390919854860701,False,81.8415998840332,0.0602187245363796,-0.0092487459585901,-0.0235201885317305,0.1406598789426603,0.4922383275506789,0.6019377203638411,False,,1,BAIXO,True,False,False,1,0.0208309034500455,-0.2617801047120419,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 3.9% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
GE,2026-08-14,368.3800048828125,381.2200012207031,0.0336813291453116,False,356.2527758789063,0.0340410793262937,-0.0045935520728872,0.0230788385301727,0.0560445462348369,0.8591694579339599,0.9568248085211286,False,,1,BAIXO,True,False,False,1,0.1558441558441559,0.1957671957671958,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 3.4% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
JNJ,2026-08-14,260.3500061035156,267.239990234375,0.0257820101131448,False,251.3097998046875,0.0359723588409763,0.0042818080194226,0.0156036664901999,0.0288887646670017,0.663396647644279,0.466669858062663,False,,1,BAIXO,True,False,False,1,0.065998399528282,-0.0087336244541484,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 2.6% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
JPM,2026-08-14,362.8399963378906,365.1799926757813,0.0064077889939828,False,338.791650390625,0.0709826996017699,0.0148803073609831,0.0314107493805007,0.0637349453103717,0.7421836310211628,0.3123572697284953,False,,1,BAIXO,True,False,False,1,0.0275462389330689,0.4694656488549618,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 0.6% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
AVGO,2026-08-14,392.989990234375,480.8090515136719,0.1826485192049254,False,390.3288507080078,0.0068176859628497,-0.0812839413163023,0.0095303932046648,0.0597578525591833,1.6543432207557742,0.1870829264322916,False,,2,MODERADO,True,False,True,2,0.4787390029325513,0.8543689320388348,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 18.3% | Falling Score 2 | 2 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
ADBE,2026-08-14,264.0199890136719,634.760009765625,0.5840632917137344,False,230.5265991210937,0.1452907821495441,-0.0044870196438576,0.054350805289421,0.1128345163906086,0.5360356747864977,0.2003392582108812,False,,2,MODERADO,True,False,False,1,0.126851694193768,0.0786802030456852,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 58.4% | Falling Score 2 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
ORCL,2026-08-14,150.52000427246094,324.6300048828125,0.5363336659937,False,152.0817073059082,-0.0102688420659687,0.0238062841673825,0.1590052354790652,0.190728580902481,0.6600583534624712,0.2266142359142612,False,,2,MODERADO,True,False,False,1,0.1734873429850694,0.3433179723502304,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 53.6% | Falling Score 2 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
CRM,2026-08-14,196.2100067138672,363.21923828125,0.459802824205207,False,172.45709655761718,0.1377322860605754,0.0180035338892121,0.0662428114247712,0.1489723124959177,0.68696252340304,0.0980176988770993,False,,2,MODERADO,True,False,False,1,0.1326686336351612,0.5220125786163521,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 46.0% | Falling Score 2 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
